YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1906-01,	 NaN,	0.000,	 0.000
1906-02,	 NaN,	0.000,	 0.000
1906-03,	 NaN,	0.000,	 0.000
1906-04,	 NaN,	0.000,	 0.000
1906-05,	 NaN,	0.000,	 0.000
1906-06,	 NaN,	0.000,	 0.000
1906-07,	 NaN,	0.000,	 0.000
1906-08,	 NaN,	0.000,	 0.000
1906-09,	 NaN,	0.000,	 0.000
1906-10,	 NaN,	0.000,	 0.000
1906-11,	 NaN,	0.000,	 0.000
1906-12,	 NaN,	0.000,	 0.000
1907-01,	 NaN,	0.000,	 0.000
1907-02,	 NaN,	0.000,	 0.000
1907-03,	 NaN,	0.000,	 0.000
1907-04,	 NaN,	0.000,	 0.000
1907-05,	 NaN,	0.000,	 0.000
1907-06,	 NaN,	0.000,	 0.000
1907-07,	 NaN,	0.000,	 0.000
1907-08,	 NaN,	0.000,	 0.000
1907-09,	 NaN,	0.000,	 0.000
1907-10,	 NaN,	0.000,	 0.000
1907-11,	 NaN,	0.000,	 0.000
1907-12,	 NaN,	0.000,	 0.000
1908-01,	 131,	0.076,	 0.000
1908-02,	 152,	0.076,	 0.000
1908-03,	 156,	0.076,	 0.000
1908-04,	1631,	0.076,	 0.000
1908-05,	4852,	0.076,	 0.000
1908-06,	6738,	0.076,	 0.000
1908-07,	1390,	0.076,	 0.000
1908-08,	 708,	0.076,	 0.000
1908-09,	 268,	0.076,	 0.000
1908-10,	 333,	0.076,	 0.000
1908-11,	 246,	0.076,	 0.000
1908-12,	 206,	0.076,	 0.000
1909-01,	 220,	0.076,	 0.000
1909-02,	 240,	0.076,	 0.000
1909-03,	 270,	0.076,	 0.000
1909-04,	 552,	0.076,	 0.000
1909-05,	2772,	0.076,	 0.000
1909-06,	1310,	0.076,	 0.000
1909-07,	1323,	0.076,	 0.000
1909-08,	2935,	0.076,	 0.000
1909-09,	 995,	0.076,	 0.000
1909-10,	1226,	0.076,	 0.000
1909-11,	1123,	0.076,	 0.000
1909-12,	1080,	0.076,	 0.000
1910-01,	 352,	0.076,	 0.000
1910-02,	 279,	0.076,	 0.000
1910-03,	 641,	0.076,	 0.000
1910-04,	1194,	0.076,	 0.000
1910-05,	 784,	0.076,	 0.000
1910-06,	 400,	0.076,	 0.000
1910-07,	 224,	0.076,	 0.000
1910-08,	 446,	0.076,	 0.000
1910-09,	 377,	0.076,	 0.000
1910-10,	 556,	0.076,	 0.000
1910-11,	 204,	0.076,	 0.000
1910-12,	 115,	0.076,	 0.000
1911-01,	 109,	0.076,	 0.000
1911-02,	 128,	0.076,	 0.000
1911-03,	 350,	0.076,	 0.000
1911-04,	1538,	0.076,	 0.000
1911-05,	1664,	0.076,	 0.000
1911-06,	1131,	0.076,	 0.000
1911-07,	 438,	0.076,	 0.000
1911-08,	1434,	0.076,	 0.000
1911-09,	1676,	0.076,	 0.000
1911-10,	 781,	0.076,	 0.000
1911-11,	 343,	0.076,	 0.000
1911-12,	 232,	0.076,	 0.000
1912-01,	 171,	0.076,	 0.000
1912-02,	 137,	0.076,	 0.000
1912-03,	 177,	0.076,	 0.000
1912-04,	1052,	0.076,	 0.000
1912-05,	3371,	0.076,	 0.000
1912-06,	1689,	0.076,	 0.000
1912-07,	 571,	0.076,	 0.000
1912-08,	 281,	0.076,	 0.000
1912-09,	 505,	0.076,	 0.000
1912-10,	 522,	0.076,	 0.000
1912-11,	 263,	0.076,	 0.000
1912-12,	 168,	0.076,	 0.000
1913-01,	 135,	0.076,	 0.000
1913-02,	 154,	0.076,	 0.000
1913-03,	 142,	0.076,	 0.000
1913-04,	1681,	0.076,	 0.000
1913-05,	2452,	0.076,	 0.000
1913-06,	1998,	0.076,	 0.000
1913-07,	2182,	0.076,	 0.000
1913-08,	 690,	0.076,	 0.000
1913-09,	 804,	0.076,	 0.000
1913-10,	1611,	0.076,	 0.000
1913-11,	 716,	0.076,	 0.000
1913-12,	 426,	0.076,	 0.000
1914-01,	 203,	0.076,	 0.000
1914-02,	 215,	0.076,	 0.000
1914-03,	 239,	0.076,	 0.000
1914-04,	 908,	0.076,	 0.000
1914-05,	3088,	0.076,	 0.000
1914-06,	3088,	0.076,	 0.000
1914-07,	2227,	0.077,	 0.032
1914-08,	 789,	0.102,	 1.000
1914-09,	1147,	0.102,	 1.000
1914-10,	 587,	0.102,	 1.000
1914-11,	 425,	0.102,	 1.000
1914-12,	 283,	0.102,	 1.000
1915-01,	 228,	0.102,	 1.000
1915-02,	 245,	0.102,	 1.000
1915-03,	 327,	0.102,	 1.000
1915-04,	1303,	0.102,	 1.000
1915-05,	1964,	0.102,	 1.000
1915-06,	2392,	0.102,	 1.000
1915-07,	1212,	0.102,	 1.000
1915-08,	 531,	0.102,	 1.000
1915-09,	 354,	0.102,	 1.000
1915-10,	1191,	0.102,	 1.000
1915-11,	1127,	0.102,	 1.000
1915-12,	 467,	0.102,	 1.000
1916-01,	 405,	0.102,	 1.000
1916-02,	 365,	0.102,	 1.000
1916-03,	 382,	0.102,	 1.000
1916-04,	6398,	0.102,	 1.000
1916-05,	4478,	0.102,	 1.000
1916-06,	2051,	0.102,	 1.000
1916-07,	1253,	0.102,	 1.000
1916-08,	 500,	0.102,	 1.000
1916-09,	 830,	0.102,	 1.000
1916-10,	 595,	0.102,	 1.000
1916-11,	 510,	0.102,	 1.000
1916-12,	 343,	0.102,	 1.000
1917-01,	 259,	0.102,	 1.000
1917-02,	 226,	0.102,	 1.000
1917-03,	 235,	0.102,	 1.000
1917-04,	1425,	0.102,	 1.000
1917-05,	1181,	0.102,	 1.000
1917-06,	1030,	0.102,	 1.000
1917-07,	 643,	0.102,	 1.000
1917-08,	 604,	0.102,	 1.000
1917-09,	 392,	0.102,	 1.000
1917-10,	 685,	0.102,	 1.000
1917-11,	 538,	0.102,	 1.000
1917-12,	 317,	0.102,	 1.000
1918-01,	 264,	0.102,	 1.000
1918-02,	 284,	0.102,	 1.000
1918-03,	 692,	0.102,	 1.000
1918-04,	 855,	0.102,	 1.000
1918-05,	1728,	0.102,	 1.000
1918-06,	1699,	0.102,	 1.000
1918-07,	 374,	0.102,	 1.000
1918-08,	 339,	0.102,	 1.000
1918-09,	 321,	0.102,	 1.000
1918-10,	 321,	0.102,	 1.000
1918-11,	 597,	0.102,	 1.000
1918-12,	 297,	0.102,	 1.000
1919-01,	 232,	0.102,	 1.000
1919-02,	 207,	0.102,	 1.000
1919-03,	1060,	0.102,	 1.000
1919-04,	3177,	0.102,	 1.000
1919-05,	1247,	0.102,	 1.000
1919-06,	1582,	0.102,	 1.000
1919-07,	 664,	0.102,	 1.000
1919-08,	 479,	0.102,	 1.000
1919-09,	 371,	0.102,	 1.000
1919-10,	 480,	0.102,	 1.000
1919-11,	1090,	0.102,	 1.000
1919-12,	 444,	0.102,	 1.000
1920-01,	 390,	0.102,	 1.000
1920-02,	 397,	0.102,	 1.000
1920-03,	2452,	0.102,	 1.000
1920-04,	2747,	0.102,	 1.000
1920-05,	1578,	0.102,	 1.000
1920-06,	3473,	0.102,	 1.000
1920-07,	1592,	0.142,	 1.516
1920-08,	 718,	0.179,	 2.000
1920-09,	 413,	0.179,	 2.000
1920-10,	 487,	0.179,	 2.000
1920-11,	 479,	0.179,	 2.000
1920-12,	 433,	0.179,	 2.000
1921-01,	 429,	0.179,	 2.000
1921-02,	 367,	0.179,	 2.000
1921-03,	 785,	0.179,	 2.000
1921-04,	2756,	0.179,	 2.000
1921-05,	1857,	0.179,	 2.000
1921-06,	1860,	0.243,	 3.000
1921-07,	 808,	0.243,	 3.000
1921-08,	 472,	0.243,	 3.000
1921-09,	 394,	0.243,	 3.000
1921-10,	 357,	0.243,	 3.000
1921-11,	 287,	0.179,	 2.000
1921-12,	 161,	0.102,	 1.000
1922-01,	 117,	0.102,	 1.000
1922-02,	 110,	0.102,	 1.000
1922-03,	 184,	0.102,	 1.000
1922-04,	1848,	0.179,	 2.000
1922-05,	3906,	0.243,	 3.000
1922-06,	1250,	0.243,	 3.000
1922-07,	 672,	0.243,	 3.000
1922-08,	 511,	0.243,	 3.000
1922-09,	 603,	0.243,	 3.000
1922-10,	 287,	0.243,	 3.000
1922-11,	 383,	0.243,	 3.000
1922-12,	 113,	0.102,	 1.000
1923-01,	  62,	0.076,	 0.000
1923-02,	  50,	0.076,	 0.000
1923-03,	  63,	0.076,	 0.000
1923-04,	 737,	0.106,	 0.400
1923-05,	2293,	0.216,	 2.000
1923-06,	 528,	0.152,	 1.000
1923-07,	 460,	0.216,	 2.000
1923-08,	 373,	0.204,	 1.839
1923-09,	 157,	0.140,	 1.000
1923-10,	 577,	0.184,	 1.581
1923-11,	 806,	0.216,	 2.000
1923-12,	 459,	0.216,	 2.000
1924-01,	 328,	0.216,	 2.000
1924-02,	 283,	0.216,	 2.000
1924-03,	 284,	0.216,	 2.000
1924-04,	 918,	0.216,	 2.000
1924-05,	1651,	0.216,	 2.000
1924-06,	1131,	0.216,	 2.000
1924-07,	 743,	0.216,	 2.000
1924-08,	 566,	0.216,	 2.000
1924-09,	 632,	0.216,	 2.000
1924-10,	 816,	0.216,	 2.000
1924-11,	 521,	0.216,	 2.000
1924-12,	 451,	0.216,	 2.000
1925-01,	 240,	0.164,	 1.323
1925-02,	 357,	0.216,	 2.000
1925-03,	 510,	0.216,	 2.000
1925-04,	1314,	0.216,	 2.000
1925-05,	1791,	0.216,	 2.000
1925-06,	1594,	0.216,	 2.000
1925-07,	 924,	0.216,	 2.000
1925-08,	 757,	0.216,	 2.000
1925-09,	 461,	0.216,	 2.000
1925-10,	 520,	0.216,	 2.000
1925-11,	 539,	0.216,	 2.000
1925-12,	 421,	0.216,	 2.000
1926-01,	 368,	0.216,	 2.000
1926-02,	 304,	0.216,	 2.000
1926-03,	 256,	0.147,	 1.097
1926-04,	 983,	0.239,	 2.333
1926-05,	1192,	0.285,	 3.000
1926-06,	1402,	0.285,	 3.000
1926-07,	1587,	0.285,	 3.000
1926-08,	 873,	0.285,	 3.000
1926-09,	1348,	0.285,	 3.000
1926-10,	1411,	0.285,	 3.000
1926-11,	1057,	0.285,	 3.000
1926-12,	 811,	0.285,	 3.000
1927-01,	 592,	0.285,	 3.000
1927-02,	 528,	0.285,	 3.000
1927-03,	 760,	0.285,	 3.000
1927-04,	3501,	0.285,	 3.000
1927-05,	3754,	0.285,	 3.000
1927-06,	2079,	0.285,	 3.000
1927-07,	1706,	0.285,	 3.000
1927-08,	 799,	0.285,	 3.000
1927-09,	 518,	0.285,	 3.000
1927-10,	 728,	0.285,	 3.000
1927-11,	 837,	0.285,	 3.000
1927-12,	 671,	0.285,	 3.000
1928-01,	 553,	0.285,	 3.000
1928-02,	 488,	0.285,	 3.000
1928-03,	 514,	0.285,	 3.000
1928-04,	2086,	0.285,	 3.000
1928-05,	2640,	0.285,	 3.000
1928-06,	2373,	0.285,	 3.000
1928-07,	2137,	0.285,	 3.000
1928-08,	1420,	0.285,	 4.000
1928-09,	2110,	0.285,	 4.000
1928-10,	2426,	0.285,	 4.000
1928-11,	1595,	0.285,	 4.000
1928-12,	 895,	0.285,	 4.000
1929-01,	 583,	0.285,	 4.000
1929-02,	 469,	0.285,	 3.000
1929-03,	 605,	0.285,	 3.000
1929-04,	1629,	0.285,	 3.000
1929-05,	1602,	0.285,	 3.000
1929-06,	1381,	0.285,	 3.000
1929-07,	 869,	0.285,	 3.000
1929-08,	 503,	0.285,	 3.000
1929-09,	 450,	0.285,	 3.000
1929-10,	 521,	0.285,	 3.000
1929-11,	 599,	0.245,	 2.467
1929-12,	 313,	0.209,	 2.000
1930-01,	 304,	0.209,	 2.000
1930-02,	 299,	0.209,	 2.000
1930-03,	 281,	0.209,	 3.000
1930-04,	 962,	0.255,	 3.600
1930-05,	2621,	0.285,	 4.000
1930-06,	1931,	0.285,	 4.000
1930-07,	1715,	0.285,	 4.000
1930-08,	 493,	0.246,	 3.484
1930-09,	 476,	0.285,	 4.000
1930-10,	 565,	0.285,	 4.000
1930-11,	 946,	0.260,	 3.667
1930-12,	 457,	0.209,	 3.000
1931-01,	 267,	0.209,	 3.000
1931-02,	 232,	0.209,	 3.000
1931-03,	 212,	0.209,	 3.000
1931-04,	 968,	0.260,	 3.667
1931-05,	1828,	0.285,	 4.000
1931-06,	1702,	0.285,	 4.000
1931-07,	 551,	0.285,	 4.000
1931-08,	 366,	0.285,	 4.000
1931-09,	 383,	0.285,	 4.000
1931-10,	 624,	0.285,	 4.000
1931-11,	 729,	0.232,	 3.300
1931-12,	 225,	0.140,	 2.000
1932-01,	 153,	0.140,	 2.000
1932-02,	 181,	0.154,	 3.000
1932-03,	 189,	0.154,	 3.000
1932-04,	1593,	0.195,	 3.567
1932-05,	2736,	0.299,	 5.000
1932-06,	1200,	0.299,	 5.000
1932-07,	 865,	0.299,	 5.000
1932-08,	 827,	0.299,	 5.000
1932-09,	 498,	0.299,	 5.000
1932-10,	 484,	0.299,	 5.000
1932-11,	1206,	0.299,	 5.000
1932-12,	 615,	0.299,	 5.000
1933-01,	 519,	0.299,	 5.000
1933-02,	 512,	0.299,	 5.000
1933-03,	 527,	0.299,	 5.000
1933-04,	2058,	0.299,	 5.000
1933-05,	2416,	0.265,	 4.548
1933-06,	1514,	0.299,	 5.000
1933-07,	 528,	0.299,	 5.000
1933-08,	 423,	0.299,	 5.000
1933-09,	 418,	0.299,	 5.000
1933-10,	 565,	0.299,	 5.000
1933-11,	 661,	0.299,	 5.000
1933-12,	 388,	0.242,	 4.161
1934-01,	 329,	0.230,	 4.000
1934-02,	 288,	0.230,	 4.000
1934-03,	 319,	0.230,	 4.000
1934-04,	1165,	0.230,	 4.000
1934-05,	4033,	0.299,	 5.000
1934-06,	1368,	0.299,	 5.000
1934-07,	 780,	0.299,	 5.000
1934-08,	 549,	0.299,	 5.000
1934-09,	 740,	0.299,	 5.000
1934-10,	 801,	0.299,	 5.000
1934-11,	 989,	0.299,	 5.000
1934-12,	 945,	0.299,	 5.000
1935-01,	 713,	0.299,	 5.000
1935-02,	 732,	0.299,	 5.000
1935-03,	 929,	0.299,	 5.000
1935-04,	2554,	0.299,	 5.000
1935-05,	2773,	0.299,	 5.000
1935-06,	1808,	0.299,	 5.000
1935-07,	1326,	0.299,	 5.000
1935-08,	1005,	0.299,	 5.000
1935-09,	 663,	0.299,	 5.000
1935-10,	 857,	0.344,	 6.000
1935-11,	 974,	0.344,	 6.000
1935-12,	 717,	0.344,	 6.000
1936-01,	 620,	0.344,	 6.000
1936-02,	 547,	0.344,	 6.000
1936-03,	 621,	0.344,	 6.000
1936-04,	1963,	0.344,	 6.000
1936-05,	5173,	0.344,	 6.000
1936-06,	1572,	0.344,	 6.000
1936-07,	 849,	0.344,	 6.000
1936-08,	 620,	0.344,	 6.000
1936-09,	 502,	0.344,	 6.000
1936-10,	 436,	0.344,	 6.000
1936-11,	 511,	0.344,	 6.000
1936-12,	 419,	0.344,	 6.000
1937-01,	 443,	0.344,	 6.000
1937-02,	 401,	0.344,	 6.000
1937-03,	 440,	0.344,	 6.000
1937-04,	2488,	0.344,	 6.000
1937-05,	3075,	0.344,	 6.000
1937-06,	1712,	0.344,	 6.000
1937-07,	 893,	0.344,	 6.000
1937-08,	 808,	0.344,	 6.000
1937-09,	 756,	0.344,	 6.000
1937-10,	 918,	0.344,	 6.000
1937-11,	 961,	0.344,	 6.000
1937-12,	 750,	0.344,	 6.000
1938-01,	 544,	0.344,	 6.000
1938-02,	 513,	0.344,	 6.000
1938-03,	 966,	0.344,	 6.000
1938-04,	3370,	0.344,	 6.000
1938-05,	4390,	0.344,	 6.000
1938-06,	2560,	0.344,	 6.000
1938-07,	 961,	0.344,	 6.000
1938-08,	 692,	0.344,	 6.000
1938-09,	 508,	0.351,	 6.267
1938-10,	 531,	0.371,	 7.000
1938-11,	 912,	0.371,	 7.000
1938-12,	 567,	0.371,	 7.000
1939-01,	 647,	0.371,	 7.000
1939-02,	 555,	0.371,	 8.000
1939-03,	 808,	0.371,	 8.000
1939-04,	2892,	0.371,	 8.000
1939-05,	4710,	0.371,	 8.000
1939-06,	2647,	0.371,	 8.000
1939-07,	1399,	0.371,	 8.000
1939-08,	 828,	0.371,	 8.000
1939-09,	 726,	0.371,	 8.000
1939-10,	 836,	0.371,	 8.000
1939-11,	 636,	0.371,	 8.000
1939-12,	 534,	0.371,	 8.000
1940-01,	 530,	0.371,	 7.000
1940-02,	 472,	0.371,	 7.000
1940-03,	 424,	0.371,	 7.000
1940-04,	1450,	0.371,	 7.500
1940-05,	3451,	0.371,	 8.000
1940-06,	2363,	0.371,	 8.000
1940-07,	1092,	0.371,	 8.000
1940-08,	 645,	0.371,	 8.000
1940-09,	 514,	0.371,	 8.000
1940-10,	 451,	0.371,	 8.000
1940-11,	 824,	0.371,	 8.000
1940-12,	 764,	0.371,	 7.000
1941-01,	 618,	0.371,	 7.000
1941-02,	 608,	0.371,	 7.000
1941-03,	 544,	0.371,	 7.000
1941-04,	3938,	0.371,	 8.000
1941-05,	2143,	0.371,	 8.000
1941-06,	1523,	0.371,	 8.000
1941-07,	 877,	0.357,	 7.000
1941-08,	 643,	0.357,	 7.000
1941-09,	1929,	0.357,	 7.000
1941-10,	2591,	0.357,	 7.000
1941-11,	1608,	0.357,	 7.000
1941-12,	1195,	0.357,	 6.387
1942-01,	 875,	0.357,	 6.000
1942-02,	 660,	0.357,	 6.000
1942-03,	 754,	0.357,	 6.000
1942-04,	2762,	0.357,	 7.000
1942-05,	3752,	0.357,	 7.000
1942-06,	1517,	0.385,	 8.000
1942-07,	1077,	0.385,	 8.000
1942-08,	 875,	0.385,	 8.000
1942-09,	1006,	0.385,	 8.000
1942-10,	1432,	0.437,	11.000
1942-11,	1861,	0.437,	11.000
1942-12,	1070,	0.437,	10.000
1943-01,	 845,	0.437,	10.000
1943-02,	 825,	0.437,	10.000
1943-03,	 891,	0.437,	10.000
1943-04,	2682,	0.437,	10.500
1943-05,	3403,	0.437,	11.000
1943-06,	3991,	0.437,	11.000
1943-07,	1451,	0.437,	10.226
1943-08,	1156,	0.437,	10.806
1943-09,	 885,	0.437,	11.000
1943-10,	 826,	0.437,	11.000
1943-11,	 923,	0.437,	10.633
1943-12,	 685,	0.437,	10.000
1944-01,	 670,	0.437,	10.000
1944-02,	 686,	0.437,	10.000
1944-03,	 688,	0.437,	10.000
1944-04,	2364,	0.437,	10.633
1944-05,	4097,	0.437,	11.000
1944-06,	3729,	0.437,	11.000
1944-07,	1518,	0.437,	11.000
1944-08,	1440,	0.437,	11.000
1944-09,	1197,	0.437,	11.000
1944-10,	1084,	0.437,	11.000
1944-11,	1092,	0.437,	11.000
1944-12,	 868,	0.437,	10.387
1945-01,	 748,	0.437,	10.161
1945-02,	 725,	0.437,	10.107
1945-03,	2642,	0.458,	12.226
1945-04,	3941,	0.458,	13.000
1945-05,	1978,	0.458,	13.000
1945-06,	2102,	0.458,	13.000
1945-07,	1272,	0.458,	12.000
1945-08,	 942,	0.458,	12.000
1945-09,	 958,	0.458,	12.433
1945-10,	 816,	0.458,	13.000
1945-11,	1503,	0.458,	13.000
1945-12,	 922,	0.458,	12.000
1946-01,	 936,	0.458,	11.032
1946-02,	 882,	0.458,	11.036
1946-03,	1977,	0.458,	12.742
1946-04,	2419,	0.458,	12.033
1946-05,	2055,	0.458,	12.097
1946-06,	2266,	0.458,	12.033
1946-07,	1238,	0.458,	12.065
1946-08,	 855,	0.458,	13.000
1946-09,	 925,	0.458,	12.033
1946-10,	1587,	0.458,	12.032
1946-11,	1762,	0.458,	12.033
1946-12,	1213,	0.458,	12.032
1947-01,	 996,	0.458,	12.000
1947-02,	 887,	0.458,	12.000
1947-03,	 833,	0.458,	12.000
1947-04,	2606,	0.458,	12.067
1947-05,	4616,	0.458,	12.226
1947-06,	4526,	0.458,	12.133
1947-07,	1419,	0.458,	11.032
1947-08,	 892,	0.458,	12.000
1947-09,	 849,	0.458,	11.000
1947-10,	 724,	0.458,	10.065
1947-11,	 684,	0.458,	10.033
1947-12,	 570,	0.458,	11.032
1948-01,	 597,	0.458,	11.000
1948-02,	 612,	0.458,	11.000
1948-03,	 801,	0.458,	11.000
1948-04,	4161,	0.458,	12.000
1948-05,	2294,	0.458,	13.097
1948-06,	 899,	0.458,	14.000
1948-07,	 762,	0.458,	14.000
1948-08,	 754,	0.458,	14.000
1948-09,	 662,	0.458,	14.000
1948-10,	 579,	0.458,	14.000
1948-11,	 735,	0.458,	14.000
1948-12,	 760,	0.458,	13.000
1949-01,	 685,	0.458,	12.000
1949-02,	 703,	0.458,	12.000
1949-03,	 747,	0.458,	12.000
1949-04,	2393,	0.458,	12.467
1949-05,	2955,	0.458,	13.000
1949-06,	1177,	0.458,	14.000
1949-07,	1577,	0.458,	14.000
1949-08,	 762,	0.458,	14.000
1949-09,	 675,	0.458,	14.000
1949-10,	1101,	0.458,	14.000
1949-11,	1023,	0.458,	14.000
1949-12,	 779,	0.458,	13.000
1950-01,	 762,	0.458,	14.000
1950-02,	 787,	0.458,	14.000
1950-03,	 791,	0.458,	14.000
1950-04,	2176,	0.458,	14.000
1950-05,	7453,	0.515,	14.968
1950-06,	2779,	0.655,	16.000
1950-07,	2260,	0.655,	16.000
1950-08,	1601,	0.655,	16.000
1950-09,	1003,	0.655,	16.000
1950-10,	1205,	0.655,	16.000
1950-11,	1062,	0.655,	16.000
1950-12,	1165,	0.655,	15.000
1951-01,	1121,	0.655,	14.000
1951-02,	1240,	0.655,	14.000
1951-03,	1468,	0.655,	14.000
1951-04,	3781,	0.655,	15.000
1951-05,	3406,	0.655,	15.000
1951-06,	2202,	0.655,	15.000
1951-07,	1424,	0.655,	15.000
1951-08,	1029,	0.655,	15.000
1951-09,	1663,	0.655,	15.000
1951-10,	1778,	0.655,	16.000
1951-11,	1744,	0.655,	16.000
1951-12,	1294,	0.655,	15.000
1952-01,	1243,	0.655,	15.000
1952-02,	1300,	0.655,	15.000
1952-03,	1433,	0.655,	15.000
1952-04,	3236,	0.655,	16.000
1952-05,	1818,	0.655,	16.000
1952-06,	1658,	0.655,	16.000
1952-07,	2265,	0.655,	16.000
1952-08,	1579,	0.655,	16.000
1952-09,	1219,	0.655,	16.000
1952-10,	1061,	0.655,	16.000
1952-11,	1088,	0.655,	16.000
1952-12,	 971,	0.655,	16.000
1953-01,	 805,	0.655,	16.000
1953-02,	 895,	0.655,	16.000
1953-03,	1307,	0.655,	16.000
1953-04,	2131,	0.655,	16.000
1953-05,	2845,	0.655,	16.000
1953-06,	2572,	0.655,	16.000
1953-07,	1944,	0.655,	16.000
1953-08,	1779,	0.669,	17.355
1953-09,	1203,	0.672,	18.000
1953-10,	1000,	0.672,	18.000
1953-11,	 832,	0.672,	18.000
1953-12,	1070,	0.672,	18.000
1954-01,	 981,	0.672,	18.000
1954-02,	1203,	0.672,	18.000
1954-03,	1301,	0.672,	18.000
1954-04,	3276,	0.672,	18.000
1954-05,	3954,	0.672,	18.000
1954-06,	2699,	0.672,	18.000
1954-07,	1597,	0.672,	18.000
1954-08,	1109,	0.672,	18.000
1954-09,	 931,	0.672,	18.000
1954-10,	1131,	0.672,	19.000
1954-11,	1099,	0.672,	19.000
1954-12,	 951,	0.672,	19.000
1955-01,	1052,	0.672,	18.000
1955-02,	1091,	0.672,	18.000
1955-03,	1161,	0.672,	18.000
1955-04,	2795,	0.672,	18.000
1955-05,	1407,	0.672,	18.774
1955-06,	 911,	0.672,	19.000
1955-07,	 817,	0.672,	19.000
1955-08,	1067,	0.672,	19.000
1955-09,	 972,	0.672,	19.000
1955-10,	1101,	0.672,	19.000
1955-11,	1163,	0.672,	19.000
1955-12,	1036,	0.672,	19.000
1956-01,	1039,	0.672,	19.000
1956-02,	1045,	0.672,	19.000
1956-03,	 918,	0.672,	19.000
1956-04,	2322,	0.672,	19.000
1956-05,	2314,	0.672,	19.000
1956-06,	1006,	0.672,	19.000
1956-07,	1037,	0.672,	19.000
1956-08,	 886,	0.672,	19.000
1956-09,	 983,	0.672,	19.000
1956-10,	 906,	0.672,	19.000
1956-11,	1051,	0.672,	19.000
1956-12,	 968,	0.672,	19.000
1957-01,	 928,	0.672,	19.000
1957-02,	 966,	0.672,	19.000
1957-03,	1078,	0.672,	19.000
1957-04,	2731,	0.672,	19.000
1957-05,	1572,	0.672,	19.000
1957-06,	1220,	0.672,	19.000
1957-07,	1796,	0.672,	19.000
1957-08,	 927,	0.672,	19.000
1957-09,	1005,	0.672,	19.000
1957-10,	 957,	0.672,	19.000
1957-11,	1165,	0.672,	19.000
1957-12,	1097,	0.672,	19.000
